pose,pain_area,difficulty,instructions_english,instructions_hindi,instructions_telugu,feedback_count
Cobra,Back,Intermediate,"Lie face down and lift your chest using your arms.","पेट के बल लेटें और अपनी छाती को अपने हाथों से उठाएं।","బద్ధగా పడుకుని చేతుల సహాయంతో ఛాతీని పైకి లేపండి.",0
Child,Back,Beginner,"Kneel and stretch arms forward while sitting on your heels.","घुटनों के बल बैठें और अपनी एड़ियों पर बैठते हुए हाथ आगे फैलाएं।","మోకాలపై కూర్చుకుని చేతులను ముందుకు చాపండి.",0
Cat-Cow,Neck,Beginner,"Move spine between arching and rounding.","रीढ़ को झुकाएं और गोल करें।","మెడను వంపు చేసి, నెమ్మదిగా తిప్పండి.",0
Thread the Needle,Shoulders,Intermediate,"Slide one arm under and twist shoulder.","एक हाथ को नीचे स्लाइड करें और कंधे को मोड़ें।","ఒక చెయ్యిని క్రిందకి తిప్పి భుజాన్ని వంపండి.",0
Bridge,Lower Back,Intermediate,"Lie on your back and lift your hips.","पीठ के बल लेटें और कूल्हों को ऊपर उठाएं।","వెనుకపడుకుని నితంబాలను పైకి లేపండి.",0
Hero,Knees,Beginner,"Sit on your heels with knees together.","घुटनों को एकसाथ रखकर एड़ियों पर बैठें।","మోకాళ్లను కలిపి పాదాలపై కూర్చోండి.",0
Reclining Hero,Knees,Beginner,"Lie back while sitting on your heels.","एड़ियों पर बैठकर धीरे-धीरे पीठ के बल लेट जाएं।","మోకాళ్లపై కూర్చుని నిదానంగా వెనక్కి పడుకోండి.",0
Reclining Hand-to-Big-Toe,Legs,Advanced,"Lie on your back and extend one leg upward.","पीठ के बल लेटें और एक पैर को ऊपर उठाएं।","వెనుకపడి ఒక కాలు పైకి లేపండి.",0
Downward Dog,Full Body,Intermediate,"Stretch your whole body forming an inverted V.","पूरा शरीर फैलाएं और उल्टा V बनाएं।","ఉల్టా V ఆకారంగా శరీరాన్ని లాగండి.",0
Sphinx,Spine,Beginner,"Lie on stomach, prop yourself on elbows.","पेट के बल लेटें, कोहनियों पर सहारा लें।","ఒత్తిడి లేకుండా కుడివైపు మోకాళ్లపై కూర్చోండి.",0
Chair,Knees,Intermediate,"Bend knees like sitting on an invisible chair.","घुटनों को मोड़ें जैसे अदृश्य कुर्सी पर बैठ रहे हों।","కుర్చీలో కూర్చున్నట్లు మోకాళ్లను వంచండి.",0
Camel,Hips,Advanced,"Kneel and lean back with arms on heels.","घुटनों के बल झुकें और एड़ियों को पकड़ें।","వెనుకకు వంపుతుండి పాదాలను పట్టుకోండి.",0
Seated Forward Bend,Legs,Intermediate,"Sit with legs extended and bend forward.","पैर फैलाकर बैठें और आगे झुकें।","కాళ్లు సాగదీయగా కూర్చుని ముందు వంపు చెయ్యండి.",0